problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_heat_then_place_in_recep-PotatoSliced-None-CounterTop-8/trial_T20190910_080205_480727,slice a potato and heat up a slice.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation countertop)
(PutObject knife countertop)
(GotoLocation countertop)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation countertop)
(PutObject potato countertop)","(PickupObject knife1)
(GotoLocation potato)
(PickupObject potato)
(GotoLocation cuttingboard)
(Cut potato1 using knife1 on cuttingboard)
(PutObject potato)
(GotoLocation stove)
(RemoveObject potato)
(TurnOn stove)
(GotoLocation microwave)
(PickupObject potato)
(PlaceObject potato on stove)"
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091658_623792,to put a cooled plus sliced tomato on the table to the right of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation knife)
(PickupObject knife)
(GotoLocation sidetable)
(PutObject knife sidetable)
(GotoLocation fridge)
(PickupObject tomato)
(GotoLocation sidetable)
(PutObject tomato sidetable)
(PickupObject knife)
(SliceObject tomato)","(GotoLocation countertop)
(CoolObject tomato)
(CutObject tomato)
(GotoLocation fridge)
(Movefridge)
(GotoLocation diningtable)
(PutObject tomato diningtable)"
train/pick_cool_then_place_in_recep-TomatoSliced-None-CounterTop-14/trial_T20190911_165306_552824,"put away knife , slice , chill tomato , put tomato on counter.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation sinkbasin)
(PickupObject knife)
(GotoLocation tomato)
(SliceObject tomato)
(PutObject knife microwave)
(PickupObject tomato)
(GotoLocation fridge)
(CoolObject tomato)
(GotoLocation countertop)
(PutObject tomato countertop)","(GET knifedrawer knife)
(GET knifedrawer knifeold)
(USE knife knifeold)
(PUT knifecounter knife)
(CLEAN knife)
(GET slicer countertop)
(PUT knifecounter slicer)
(PUT freezer work surface)
(GET refrigerator work surface)
(CUT tomato)
(CLEAN slicer)
(GET freezer work surface)"
train/pick_heat_then_place_in_recep-Cup-None-Shelf-1/trial_T20190906_230209_175441,put a heated glass on the wooden rack.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CupType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation sinkbasin)
(PickupObject cup)
(GotoLocation microwave)
(HeatObject cup)
(GotoLocation shelf)
(PutObject cup shelf)","(GotoLocation microwave)
(PickupObject glass)
(HeatUpObject glass)
(GotoLocation coolingrack)
(PutObject glass coolingrack)"
train/pick_heat_then_place_in_recep-AppleSliced-None-CounterTop-5/trial_T20190907_232136_007074,to heat a piece of apple and place it on the counter by the toaster.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation countertop)
(PutObject butterknife countertop)
(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation countertop)
(PutObject apple countertop)","(heating-element counter action01)
(put apples counter action01)
(heat apples action02)"
train/pick_cool_then_place_in_recep-Bread-None-CounterTop-7/trial_T20190909_012427_332210,to chill a loaf of bread and put it on the counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject bread)
(GotoLocation fridge)
(CoolObject bread)
(GotoLocation countertop)
(PutObject bread countertop)","(PlaceObject bread loaf)
(GotoLocation freezercompartment)
(PutObject loaf freezercompartment)
(GotoLocation counter)
(GetObject loaf)
(PlaceObject loaf counter)"
train/pick_cool_then_place_in_recep-BreadSliced-None-SideTable-21/trial_T20190907_101038_416790,place a cold slice of bread on a brown table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation bread)
(SliceObject bread)
(GotoLocation fridge)
(PutObject butterknife fridge)
(GotoLocation diningtable)
(PickupObject bread)
(GotoLocation fridge)
(CoolObject bread)
(GotoLocation sidetable)
(PutObject bread sidetable)","(GotoLocation browntable)
(PickupObject plate)
(GotoLocation countertop)
(GetContents plate brownbread)
(GotoLocation browntable)
(PutContents plate brownbread)
(PutContents plate brownbread)"
train/pick_heat_then_place_in_recep-Egg-None-DiningTable-18/trial_T20190908_051307_917970,place a cooked egg onto the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject egg)
(GotoLocation microwave)
(HeatObject egg)
(GotoLocation diningtable)
(PutObject egg diningtable)","(GotoLocation egg)
(PickupObject egg)
(Cook egg)
(PutObject egg cookerpan)"
train/pick_heat_then_place_in_recep-Tomato-None-Fridge-12/trial_T20190906_190441_327141,put the cooked tomato in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject tomato)
(GotoLocation microwave)
(HeatObject tomato)
(GotoLocation fridge)
(PutObject tomato fridge)","(PickupObject tomato)
(GotoLocation stove)
(Cook tomato stove)
(GotoLocation fridge)
(PutObject tomato fridge)"
train/pick_cool_then_place_in_recep-AppleSliced-None-GarbageCan-25/trial_T20190908_193803_869487,to put an apple slice in the trash can.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)
(PutObject butterknife microwave)
(PickupObject apple)
(GotoLocation fridge)
(CoolObject apple)
(GotoLocation garbagecan)
(PutObject apple garbagecan)","(pickup-food apple table_appleholder)
(transfer - apple apple_slice)
(balance-food apple_slice table_appleholder)
(pickup-food apple_slice trash_appleholder)
(put-trash apple_slice trash)"
train/look_at_obj_in_light-CD-None-DeskLamp-328/trial_T20190908_004539_969224,take the cd out of the trash and turn the lamp on.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CDType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation garbagecan)
(PickupObject cd)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation Table)
(PickupObject CD)
(Reset-MP3_Player CD Counter)
(GotoLocation desk)
(PutObject CD desk)
(GotoLocation lamp)
(TurnOnObject lamp)"
train/pick_cool_then_place_in_recep-Bread-None-CounterTop-16/trial_T20190907_221816_384897,"cool the bread with refrigerator , put the bread on the counter.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject bread)
(GotoLocation fridge)
(CoolObject bread)
(GotoLocation countertop)
(PutObject bread countertop)","(GotoLocation bread)
(AddObjects bread refrigerator)
(GotoLocation refrigerator)
(CoolObjects bread)
(RemoveObjects refrigerator)
(GotoLocation counter)
(PutObjects counter)"
train/look_at_obj_in_light-Pillow-None-DeskLamp-319/trial_T20190907_224200_196003,"get a pillow from the bed , take it to the nightstand and turn on the lamp.","(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o PillowType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation bed)
(PickupObject pillow)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation bed)
(PickupObject pillow)
(GotoLocation nightstand)
(PutObject pillow nightstand)
(GotoLocation nightstand)
(SwitchOn lamp)"
train/pick_cool_then_place_in_recep-Potato-None-Microwave-13/trial_T20190907_200955_697787,put the chilled potato in the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation microwave)
(PutObject potato microwave)","(GotoLocation microwave)
(PickupObject potato)
(GotoLocation freezer)
(ChillObject potato)
(GotoLocation microwave)
(PutObject potato microwave)"
train/pick_cool_then_place_in_recep-PotatoSliced-None-GarbageCan-18/trial_T20190909_070614_702720,put a chilled slice of potato in the trash can.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation diningtable)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation garbagecan)
(PutObject potato garbagecan)","(PickupObject potato)
(FlipObject potato)
(PutObject potato trashcan)"
train/pick_heat_then_place_in_recep-Egg-None-SideTable-28/trial_T20190908_115607_419115,place a heated egg on a table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject egg)
(GotoLocation microwave)
(HeatObject egg)
(GotoLocation sidetable)
(PutObject egg sidetable)","(GotoLocation table)
(TurnOnObject microwave)
(GotoLocation microwave)
(PutObject egg microwave)
(TurnOffObject microwave)
(RemoveObject egg)
(PutObject egg table)"
train/pick_heat_then_place_in_recep-Apple-None-GarbageCan-12/trial_T20190908_172429_549227,"cook the apple with microwave , put the cooked apple in the trash bin.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation garbagecan)
(PutObject apple garbagecan)","(PickupObject uncookedapple)
(GotoLocation microwave)
(CookObject uncookedapple)
(GotoLocation trashbin)
(PutObject uncookedapple trashbin)"
train/pick_and_place_simple-PotatoSliced-None-SinkBasin-25/trial_T20190907_062036_745419,slice a vegetable from the fridge in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation microwave)
(PickupObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)
(GotoLocation countertop)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)","(GotoLocation cuttingBoard)
(PutObject knife cuttingBoard)
(GotoLocation sink)
(PickupObject knife)
(CutObject knife yellowVegetable)"
train/pick_heat_then_place_in_recep-Tomato-None-SideTable-3/trial_T20190907_140946_092791,put a heated tomato on the table next to the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject tomato)
(GotoLocation microwave)
(HeatObject tomato)
(GotoLocation sidetable)
(PutObject tomato sidetable)","(GetObject1 tomato)
(GetObject1 microwave)
(HeatObject tomato microwave)
(GetObject2 microwave)
(PutObject1 tomato microwave)"
train/pick_heat_then_place_in_recep-BreadSliced-None-SideTable-28/trial_T20190907_180304_503402,"slice a loaf of bread with a knife , cook it in a microwave put it the small brown table.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation sidetable)
(PickupObject knife)
(GotoLocation bread)
(SliceObject bread)
(GotoLocation diningtable)
(PutObject knife diningtable)
(GotoLocation diningtable)
(PickupObject bread)
(GotoLocation microwave)
(HeatObject bread)
(GotoLocation sidetable)
(PutObject bread sidetable)","(GotoLocation countertop)
(PickupObject loaf)
(GotoLocation countertop)
(PickupObject knife)
(ChopObject loaf)
(GotoLocation microwave)
(CookMicrowave SetClock)
(PutObject loaf microwave)
(PickupObject loaf)
(GotoLocation table)"
train/look_at_obj_in_light-Newspaper-None-FloorLamp-212/trial_T20190908_112042_584512,carry a newspaper while turning on a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o NewspaperType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation armchair)
(PickupObject newspaper)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(PowerElectronics outlet[O]; lamp[L], plug[P]) (UnplugElectronics [O~L]) (Move_Left plug[P]) (Move_Left plug[P]) (Move_Up plug[P]) (Move_Up plug[P]) (PlugElectronics outlet[O]; plug[P]) (PowerElectronics outlet[O]; lamp[L], plug[P])"
train/pick_cool_then_place_in_recep-Pot-None-DiningTable-24/trial_T20190908_111415_336140,put a chilled pot on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation stoveburner)
(PickupObject pot)
(GotoLocation fridge)
(CoolObject pot)
(GotoLocation diningtable)
(PutObject pot diningtable)","(GotoLocation fridge)
(PickupObject pot)
(ChillObject pot)
(PutObject pot table)"
train/pick_cool_then_place_in_recep-AppleSliced-None-Microwave-25/trial_T20190908_055159_132487,preparing an apple and putting it in the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation microwave)
(PutObject knife microwave)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(CoolObject apple)
(GotoLocation microwave)
(PutObject apple microwave)","(GotoLocation cafe)
(GotoLocation countertop)
(PickupObject apple)
(Peel apple)
(Cut apple)
(GotoLocation oven)
(TurnOnOven)
(SetLowTemp)
(SetPrepareFood)
(PutObject apple oven)
(WaitUntilSignalled)"
train/pick_cool_then_place_in_recep-Egg-None-SinkBasin-25/trial_T20190909_105100_154263,put an egg in the fridge then the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject egg)
(GotoLocation fridge)
(CoolObject egg)
(GotoLocation sinkbasin)
(PutObject egg sinkbasin)","(GotoLocation countertop)
(PickupObject egg)
(GotoLocation fridge)
(PutObject egg fridge)
(GotoLocation countertop)
(PickupObject egg)
(GotoLocation sinkbasin)"
train/pick_and_place_simple-AppleSliced-None-Microwave-14/trial_T20190908_171220_804585,use a butter knife to slice up an apple that is in the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation sinkbasin)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation drawer)
(PickupObject knife)
(findItem knife drawer)
(GotoLocation microwave)
(GotoLocation movietimesliceminus)
(findItem microwave movietimesliceminus)
(PickupObject apple)
(and apple microwave)
(CutObject apple)
(and apple knife)"
train/pick_heat_then_place_in_recep-TomatoSliced-None-GarbageCan-23/trial_T20190909_034745_393039,throw away a slice of heated tomato in the trash bin.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation tomato)
(SliceObject tomato)
(GotoLocation countertop)
(PutObject butterknife countertop)
(GotoLocation sinkbasin)
(PickupObject tomato)
(GotoLocation microwave)
(HeatObject tomato)
(GotoLocation garbagecan)
(PutObject tomato garbagecan)","(heat-tomato tomato1)
(toast-bread bread1)
(slice-bread bread1)
(butter-bread bread1)
(throw-away bread1)"
train/pick_and_place_simple-BreadSliced-None-SideTable-3/trial_T20190906_235928_630179,place a slice of bread in front of the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation bread)
(SliceObject bread)
(GotoLocation cabinet)
(PutObject knife cabinet)
(GotoLocation countertop)
(PickupObject bread)
(GotoLocation sidetable)
(PutObject bread sidetable)","(GotoLocation toaster)
(PickupObject breadslice)
(GotoLocation microwave)
(PutObject breadslice microwave)"
train/look_at_obj_in_light-CD-None-DeskLamp-305/trial_T20190909_132447_100635,examine cd with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CDType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation dresser)
(PickupObject cd)
(GotoLocation desklamp)
(ToggleObject desklamp)","(GotoLocation couch)
(PickupObject cd)
(GotoLocation tablelamp)
(PutObject cd tablelamp)"
train/pick_and_place_simple-AppleSliced-None-Microwave-14/trial_T20190908_171329_509999,slice a cooked apple.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r MicrowaveType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation apple)
(CookObject apple)
(GotoLocation cuttingboard)
(CutObject apple)"
